medicine_name,department,source_file
Cap. Cilnidipine 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Olmesartan 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Dabigatran 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Valsartan 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Amlodipine 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Aspirin 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Lisinopril 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Warfarin 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Dabigatran 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Fenofibrate 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Fenofibrate 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Hydrochlorothiazide 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Amiodarone 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atorvastatin 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Cilnidipine 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
