medicine_name,department,source_group
Acebeta-101 Fenofibrate 200mg Capsule,Cardiology,User_Upload
Acebeta-116 Nifedipine 8mg Tablet,Cardiology,User_Upload
Acebeta-119 Fenofibrate 12.5mg Cap,Cardiology,User_Upload
Acebeta-122 Ambrisentan 30mg Capsule,Cardiology,User_Upload
Acebeta-134 Nifedipine 10mg Tablet,Cardiology,User_Upload
Acebeta-137 Fenofibrate 20mg Cap,Cardiology,User_Upload
Acebeta-14 Ezetimibe 5mg Tablet,Cardiology,User_Upload
Acebeta-140 Ambrisentan 25mg Capsule,Cardiology,User_Upload
Acebeta-155 Fenofibrate 150mg Tablet,Cardiology,User_Upload
Acebeta-158 Ambrisentan 160mg Cap,Cardiology,User_Upload
Acebeta-161 Warfarin 250mg Capsule,Cardiology,User_Upload
Acebeta-17 Noradrenaline 10mg Cap,Cardiology,User_Upload
Acebeta-176 Ambrisentan 8mg Tablet,Cardiology,User_Upload
Acebeta-179 Warfarin 30mg Cap,Cardiology,User_Upload
Acebeta-182 Trimetazidine 60mg Capsule,Cardiology,User_Upload
Acebeta-194 Ambrisentan 10mg Tablet,Cardiology,User_Upload
Acebeta-197 Warfarin 25mg Cap,Cardiology,User_Upload
Acebeta-2 Moxonidine 12.5mg Capsule,Cardiology,User_Upload
Acebeta-20 Moxonidine 20mg Capsule,Cardiology,User_Upload
Acebeta-200 Trimetazidine 40mg Capsule,Cardiology,User_Upload
Acebeta-215 Warfarin 160mg Tablet,Cardiology,User_Upload
Acebeta-218 Trimetazidine 200mg Cap,Cardiology,User_Upload
Acebeta-221 Selexipag 250mg Capsule,Cardiology,User_Upload
Acebeta-23 Chlorthalidone 40mg Inj,Cardiology,User_Upload
Acebeta-236 Trimetazidine 12.5mg Tablet,Cardiology,User_Upload
Acebeta-239 Selexipag 30mg Cap,Cardiology,User_Upload
Acebeta-242 Enalapril 90mg Capsule,Cardiology,User_Upload
Acebeta-254 Trimetazidine 20mg Tablet,Cardiology,User_Upload
Acebeta-257 Selexipag 25mg Cap,Cardiology,User_Upload
Acebeta-260 Enalapril 50mg Capsule,Cardiology,User_Upload
Acebeta-275 Selexipag 160mg Tablet,Cardiology,User_Upload
Acebeta-278 Enalapril 250mg Cap,Cardiology,User_Upload
Acebeta-281 Ezetimibe 300mg Capsule,Cardiology,User_Upload
Acebeta-296 Enalapril 30mg Tablet,Cardiology,User_Upload
Acebeta-299 Ezetimibe 60mg Cap,Cardiology,User_Upload
Acebeta-302 Noradrenaline 90mg Capsule,Cardiology,User_Upload
Acebeta-314 Enalapril 25mg Tablet,Cardiology,User_Upload
Acebeta-317 Ezetimibe 40mg Cap,Cardiology,User_Upload
Acebeta-320 Noradrenaline 50mg Capsule,Cardiology,User_Upload
Acebeta-335 Ezetimibe 200mg Tablet,Cardiology,User_Upload
Acebeta-338 Noradrenaline 250mg Cap,Cardiology,User_Upload
Acebeta-341 Moxonidine 300mg Capsule,Cardiology,User_Upload
Acebeta-35 Noradrenaline 125mg Tablet,Cardiology,User_Upload
Acebeta-356 Noradrenaline 30mg Tablet,Cardiology,User_Upload
Acebeta-359 Moxonidine 60mg Cap,Cardiology,User_Upload
Acebeta-362 Chlorthalidone 120mg Capsule,Cardiology,User_Upload
Acebeta-374 Noradrenaline 25mg Tablet,Cardiology,User_Upload
Acebeta-377 Moxonidine 40mg Cap,Cardiology,User_Upload
Acebeta-38 Moxonidine 150mg Cap,Cardiology,User_Upload
Acebeta-380 Chlorthalidone 75mg Capsule,Cardiology,User_Upload
Acebeta-395 Moxonidine 200mg Tablet,Cardiology,User_Upload
Acebeta-398 Chlorthalidone 300mg Cap,Cardiology,User_Upload
Acebeta-401 Nifedipine 500mg Capsule,Cardiology,User_Upload
Acebeta-41 Chlorthalidone 200mg Capsule,Cardiology,User_Upload
Acebeta-416 Chlorthalidone 60mg Tablet,Cardiology,User_Upload
Acebeta-419 Nifedipine 90mg Cap,Cardiology,User_Upload
Acebeta-422 Fenofibrate 120mg Capsule,Cardiology,User_Upload
Acebeta-434 Chlorthalidone 40mg Tablet,Cardiology,User_Upload
Acebeta-437 Nifedipine 50mg Cap,Cardiology,User_Upload
Acebeta-440 Fenofibrate 75mg Capsule,Cardiology,User_Upload
Acebeta-455 Nifedipine 250mg Tablet,Cardiology,User_Upload
Acebeta-458 Fenofibrate 300mg Cap,Cardiology,User_Upload
Acebeta-461 Ambrisentan 500mg Capsule,Cardiology,User_Upload
Acebeta-476 Fenofibrate 60mg Tablet,Cardiology,User_Upload
Acebeta-479 Ambrisentan 90mg Cap,Cardiology,User_Upload
Acebeta-482 Warfarin 2.5mg Inj,Cardiology,User_Upload
Acebeta-494 Fenofibrate 40mg Tablet,Cardiology,User_Upload
Acebeta-497 Ambrisentan 50mg Cap,Cardiology,User_Upload
Acebeta-500 Warfarin 80mg Capsule,Cardiology,User_Upload
Acebeta-515 Ambrisentan 250mg Tablet,Cardiology,User_Upload
Acebeta-518 Warfarin 500mg Cap,Cardiology,User_Upload
Acebeta-521 Trimetazidine 1mg Capsule,Cardiology,User_Upload
Acebeta-536 Warfarin 90mg Tablet,Cardiology,User_Upload
Acebeta-539 Trimetazidine 120mg Cap,Cardiology,User_Upload
Acebeta-542 Selexipag 2.5mg Inj,Cardiology,User_Upload
Acebeta-554 Warfarin 50mg Tablet,Cardiology,User_Upload
Acebeta-557 Trimetazidine 75mg Cap,Cardiology,User_Upload
Acebeta-56 Moxonidine 4mg Tablet,Cardiology,User_Upload
Acebeta-560 Selexipag 80mg Capsule,Cardiology,User_Upload
Acebeta-575 Trimetazidine 300mg Tablet,Cardiology,User_Upload
Acebeta-578 Selexipag 500mg Cap,Cardiology,User_Upload
Acebeta-581 Enalapril 2mg Capsule,Cardiology,User_Upload
Acebeta-59 Chlorthalidone 12.5mg Cap,Cardiology,User_Upload
Acebeta-596 Selexipag 90mg Tablet,Cardiology,User_Upload
Acebeta-599 Enalapril 2.5mg Capsule,Cardiology,User_Upload
Acebeta-602 Ezetimibe 5mg Inj,Cardiology,User_Upload
Acebeta-614 Selexipag 50mg Tablet,Cardiology,User_Upload
Acebeta-617 Enalapril 80mg Cap,Cardiology,User_Upload
Acebeta-62 Nifedipine 30mg Capsule,Cardiology,User_Upload
Acebeta-620 Ezetimibe 100mg Capsule,Cardiology,User_Upload
Acebeta-635 Enalapril 500mg Tablet,Cardiology,User_Upload
Acebeta-638 Ezetimibe 1mg Cap,Cardiology,User_Upload
Acebeta-641 Noradrenaline 2mg Capsule,Cardiology,User_Upload
Acebeta-656 Ezetimibe 120mg Tablet,Cardiology,User_Upload
Acebeta-659 Noradrenaline 2.5mg Capsule,Cardiology,User_Upload
Acebeta-662 Moxonidine 5mg Inj,Cardiology,User_Upload
Acebeta-674 Ezetimibe 75mg Tablet,Cardiology,User_Upload
Acebeta-677 Noradrenaline 80mg Cap,Cardiology,User_Upload
Acebeta-680 Moxonidine 100mg Capsule,Cardiology,User_Upload
Acebeta-695 Noradrenaline 500mg Tablet,Cardiology,User_Upload
Acebeta-698 Moxonidine 1mg Cap,Cardiology,User_Upload
Acebeta-701 Chlorthalidone 4mg Capsule,Cardiology,User_Upload
Acebeta-716 Moxonidine 120mg Tablet,Cardiology,User_Upload
Acebeta-719 Chlorthalidone 5mg Capsule,Cardiology,User_Upload
Acebeta-722 Nifedipine 10mg Inj,Cardiology,User_Upload
Acebeta-734 Moxonidine 75mg Tablet,Cardiology,User_Upload
Acebeta-737 Chlorthalidone 100mg Cap,Cardiology,User_Upload
Acebeta-74 Moxonidine 5mg Tablet,Cardiology,User_Upload
